document,term,count
1,name,12
1,named,1
1,names,2
1,narrow,1
1,nation,1
1,naught,2
1,nay,9
1,near,9
1,neatly,1
1,neck,1
1,need,5
1,needs,5
1,neighbour,1
1,neither,6
1,nest,1
1,net,6
1,nether,1
1,never,10
1,nevermore,1
1,nevermorefrom,1
1,new,9
1,news,2
1,newwed,1
1,next,2
1,nigh,1
1,night,13
1,nightingale,1
1,nights,1
1,nimble,1
1,noblyslain,1
1,noise,3
1,none,12
1,noonday,1
1,noose,1
1,nor,5
1,not,4
1,nothing,3
1,nottis,1
1,now,37
1,nowall,1
1,nowhere,1
1,nowise,2
1,nurse,1
1,oarblades,1
1,oars,1
1,oarsman,1
1,oath,3
1,oathgods,1
1,obedience,1
1,obedient,1
1,obeisance,1
1,obey,2
1,obeyeth,1
1,obeys,1
1,occurs,1
1,odysseus,1
1,oer,12
1,oerseas,1
1,oerthrown,1
1,offerest,1
1,oft,1
1,oil,1
1,old,33
1,olive,1
1,"""olol\u00e3g\u00e3""",1
1,omen,1
1,ominous,1
1,once,2
1,one,56
1,ones,1
1,onevoiced,1
1,only,4
1,onward,2
1,oozeth,1
1,oozing,1
1,open,3
1,opened,1
1,opening,2
1,opposite,1
1,oracle,1
1,oracles,2
1,ordain,2
1,ordeal,1
1,order,1
1,ordered,1
1,ordinance,1
1,orestes,3
1,orpheus,1
1,others,7
1,otototoi,2
1,our,5
1,out,2
1,outblotteth,1
1,outcast,2
1,outflashed,1
1,outpour,1
1,outrun,1
1,outside,1
1,outspoken,1
1,outworn,1
1,over,1
1,overborne,1
1,overcame,1
1,overcomes,1
1,overfraught,1
1,overleaping,1
1,overpraised,1
1,overproud,1
1,overthrow,1
1,paeancry,1
1,paian,2
1,paid,4
1,pain,14
1,pains,1
1,painted,1
1,palace,15
1,pale,3
1,pall,1
1,"""pall\u00e3d""",1
1,pan,1
1,parable,1
1,parched,2
1,paris,7
1,parted,1
1,partly,1
1,parts,1
1,pass,6
1,passed,4
1,passes,1
1,passing,3
1,passion,2
1,passionate,1
1,past,6
1,path,8
1,pathways,1
1,patience,1
1,patient,1
1,pay,4
1,pays,3
1,peace,9
1,people,9
1,peoples,2
1,perchance,1
1,perdition,2
1,perfect,4
1,peril,5
1,perilous,1
1,perish,1
1,pet,1
1,phantom,2
1,phantoms,1
1,phial,1
1,phocian,1
1,picture,1
1,pierce,1
1,pierced,2
1,piercing,2
1,pikes,1
1,pile,1
1,piled,2
1,pillar,1
1,pine,2
1,pines,1
1,pipeth,1
1,piteous,1
1,pities,1
1,pitiless,1
1,pity,7
1,place,3
1,placed,1
1,plaguelike,1
1,plain,10
1,plaining,1
1,planned,3
1,plant,1
1,planted,2
1,play,2
1,played,1
1,plead,1
1,pleasure,4
1,pleiades,1
1,"""pleisthen\u00e3s""",1
1,plenteousness,1
1,plenty,1
1,plight,1
1,plot,2
1,plots,1
1,plotter,1
1,plotteth,1
1,plunder,1
1,plundered,1
1,point,2
1,poiseth,1
1,poison,3
1,poor,8
1,portion,1
1,position,4
1,possess,1
1,possessed,1
1,possession,1
1,possessions,1
1,poured,3
1,power,6
1,powers,1
1,praise,9
1,praised,1
1,praising,1
1,pray,8
1,prayed,2
1,prayer,12
1,prayers,3
1,prayeth,1
1,prays,2
1,predecision,1
1,prepare,1
1,presage,1
1,presagehaunted,1
1,presageththe,1
1,presence,1
1,present,1
1,presently,4
1,press,1
1,pressed,1
1,pressing,1
1,prevail,8
1,prevaileth,1
1,prey,1
1,priam,3
1,priams,1
1,price,1
1,pride,6
1,prideful,1
1,princes,1
1,princess,1
1,prison,1
1,prithee,1
1,prize,3
1,proceeds,1
1,procession,1
1,proclaiming,1
1,profit,1
1,promise,1
1,promontory,1
1,proof,1
1,proofs,1
1,prophecy,3
1,prophesy,2
1,prophet,1
1,prophetic,1
1,prophets,3
1,prospereth,1
1,proud,2
1,prove,1
